indicator,area,period,value,unit,page,provenance,evidence,unit_range,arithmetic,cross_read,status,reason
taux_chomage_par_region,Littoral Nord,2021,11.2,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Nord,2022,10.8,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Nord,2023,10.1,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Nord,2024,9.7,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Nord,2025,8.9,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Sud,2021,13.9,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Sud,2022,13.4,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Sud,2023,12.9,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Sud,2024,12.6,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Littoral Sud,2025,11.8,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Plateau Central,2021,23.8,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Plateau Central,2022,23.1,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Plateau Central,2023,22.4,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Plateau Central,2024,21.9,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Plateau Central,2025,21.3,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Vallée de l'Est,2021,15.6,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Vallée de l'Est,2022,15.2,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Vallée de l'Est,2023,14.7,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Vallée de l'Est,2024,14.1,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Vallée de l'Est,2025,13.4,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Hauts Plateaux,2021,19.4,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Hauts Plateaux,2022,19.0,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Hauts Plateaux,2023,18.2,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Hauts Plateaux,2024,17.8,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Hauts Plateaux,2025,17.0,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Extrême Ouest,2021,17.1,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Extrême Ouest,2022,16.9,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Extrême Ouest,2023,16.3,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Extrême Ouest,2024,15.8,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Extrême Ouest,2025,15.1,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Ensemble du pays,2021,14.9,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Ensemble du pays,2022,14.5,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Ensemble du pays,2023,13.9,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Ensemble du pays,2024,13.4,%,1,True,True,True,True,match,verified,
taux_chomage_par_region,Ensemble du pays,2025,12.8,%,1,True,True,True,True,match,verified,
population_residente,Littoral Nord,Population,4912.0,thousands,2,True,True,True,True,match,verified,
population_residente,Littoral Nord,Part (%),26.2,%,2,True,True,True,True,match,verified,
population_residente,Littoral Nord,Densité (hab/km2),312.0,hab/km2,2,True,True,True,True,match,verified,
population_residente,Littoral Sud,Population,3704.0,thousands,2,True,True,True,True,match,verified,
population_residente,Littoral Sud,Part (%),19.8,%,2,True,True,True,True,match,verified,
population_residente,Littoral Sud,Densité (hab/km2),188.0,hab/km2,2,True,True,True,True,match,verified,
population_residente,Plateau Central,Population,2158.0,thousands,2,True,True,True,True,match,verified,
population_residente,Plateau Central,Part (%),11.5,%,2,True,True,True,True,match,verified,
population_residente,Plateau Central,Densité (hab/km2),41.0,hab/km2,2,True,True,True,True,match,verified,
population_residente,Vallée de l'Est,Population,3261.0,thousands,2,True,True,True,True,match,verified,
population_residente,Vallée de l'Est,Part (%),17.4,%,2,True,True,True,True,match,verified,
population_residente,Vallée de l'Est,Densité (hab/km2),97.0,hab/km2,2,True,True,True,True,match,verified,
population_residente,Hauts Plateaux,Population,2489.0,thousands,2,True,True,True,True,match,verified,
population_residente,Hauts Plateaux,Part (%),13.3,%,2,True,True,True,True,match,verified,
population_residente,Hauts Plateaux,Densité (hab/km2),,hab/km2,2,False,True,True,True,no-row,dropped,None n'est pas imprimé sur la page 2
population_residente,Extrême Ouest,Population,2218.0,thousands,2,True,True,True,True,match,verified,
population_residente,Extrême Ouest,Part (%),11.8,%,2,True,True,True,True,match,verified,
population_residente,Extrême Ouest,Densité (hab/km2),23.0,hab/km2,2,True,True,True,True,match,verified,
population_residente,Total,Population,18742.0,thousands,2,True,True,True,True,match,verified,
population_residente,Total,Part (%),100.0,%,2,True,True,True,True,match,verified,
population_residente,Total,Densité (hab/km2),114.0,hab/km2,2,True,True,True,True,match,verified,
menages_internet,Littoral Nord,2023,64.1,%,2,True,True,True,True,match,verified,
menages_internet,Littoral Nord,2025,78.3,%,2,True,True,True,True,match,verified,
